Season,Player,Age,Total Games Played,Team Win Percentage,Minutes Played,Points,Rebounds,Assists,Field Goal Percentage,Free Throw Percentage
2017-18,James Harden\hardeja01,28,72,,35.4,30.4,5.4,8.8,0.449,0.858
2016-17,Russell Westbrook\westbru01,28,81,,34.6,31.6,10.7,10.4,0.425,0.845
2015-16,Stephen Curry\curryst01,27,79,,34.2,30.1,5.4,6.7,0.504,0.908
2014-15,Stephen Curry\curryst01,26,80,,32.7,23.8,4.3,7.7,0.487,0.914
2013-14,Kevin Durant\duranke01,25,81,,38.5,32,7.4,5.5,0.503,0.873
2012-13,LeBron James\jamesle01,28,76,,37.9,26.8,8,7.3,0.565,0.753
2011-12,LeBron James\jamesle01,27,62,,37.5,27.1,7.9,6.2,0.531,0.771
2010-11,Derrick Rose\rosede01,22,81,,37.4,25,4.1,7.7,0.445,0.858
2009-10,LeBron James\jamesle01,25,76,,39,29.7,7.3,8.6,0.503,0.767
2008-09,LeBron James\jamesle01,24,81,,37.7,28.4,7.6,7.2,0.489,0.78
2007-08,Kobe Bryant\bryanko01,29,82,,38.9,28.3,6.3,5.4,0.459,0.84
2006-07,Dirk Nowitzki\nowitdi01,28,78,,36.2,24.6,8.9,3.4,0.502,0.904
2005-06,Steve Nash\nashst01,31,79,,35.4,18.8,4.2,10.5,0.512,0.921
2004-05,Steve Nash\nashst01,30,75,,34.3,15.5,3.3,11.5,0.502,0.887
2003-04,Kevin Garnett\garneke01,27,82,,39.4,24.2,13.9,5,0.499,0.791
2002-03,Tim Duncan\duncati01,26,81,,39.3,23.3,12.9,3.9,0.513,0.71
2001-02,Tim Duncan\duncati01,25,82,,40.6,25.5,12.7,3.7,0.508,0.799
2000-01,Allen Iverson\iversal01,25,71,,42,31.1,3.8,4.6,0.42,0.814
1999-00,Shaquille O'Neal\onealsh01,27,79,,40,29.7,13.6,3.8,0.574,0.524
1998-99,Karl Malone\malonka01,35,49,,37.4,23.8,9.4,4.1,0.493,0.788
1997-98,Michael Jordan\jordami01,34,82,,38.8,28.7,5.8,3.5,0.465,0.784
1996-97,Karl Malone\malonka01,33,82,,36.6,27.4,9.9,4.5,0.55,0.755
1995-96,Michael Jordan\jordami01,32,82,,37.7,30.4,6.6,4.3,0.495,0.834
1994-95,David Robinson\robinda01,29,81,,38,27.6,10.8,2.9,0.53,0.774
1993-94,Hakeem Olajuwon\olajuha01,31,80,,41,27.3,11.9,3.6,0.528,0.716
1992-93,Charles Barkley\barklch01,29,76,,37.6,25.6,12.2,5.1,0.52,0.765
1991-92,Michael Jordan\jordami01,28,80,,38.8,30.1,6.4,6.1,0.519,0.832
1990-91,Michael Jordan\jordami01,27,82,,37,31.5,6,5.5,0.539,0.851
1989-90,Magic Johnson\johnsma02,30,79,,37.2,22.3,6.6,11.5,0.48,0.89
1988-89,Magic Johnson\johnsma02,29,77,,37.5,22.5,7.9,12.8,0.509,0.911
1987-88,Michael Jordan\jordami01,24,82,,40.4,35,5.5,5.9,0.535,0.841
1986-87,Magic Johnson\johnsma02,27,80,,36.3,23.9,6.3,12.2,0.522,0.848
1985-86,Larry Bird\birdla01,29,82,,38,25.8,9.8,6.8,0.496,0.896
1984-85,Larry Bird\birdla01,28,80,,39.5,28.7,10.5,6.6,0.522,0.882
1983-84,Larry Bird\birdla01,27,79,,38.3,24.2,10.1,6.6,0.492,0.888
1982-83,Moses Malone\malonmo01,27,78,,37.5,24.5,15.3,1.3,0.501,0.761
1981-82,Moses Malone\malonmo01,26,81,,42,31.1,14.7,1.8,0.519,0.762
1980-81,Julius Erving\ervinju01,30,82,,35,24.6,8,4.4,0.521,0.787
,,,,,,,,,,
,,,,,,,,,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/awards/mvp.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#mvp_NBA"">View Original Table</a><br>Generated 11/17/2018.",,,,,,,,,,